"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,212.871354504683,7.68621843645369,0
"bs(Age, knots = c(21, 45, 60))1",0.1,-21.6502198991869,1.50176040626239,0
"bs(Age, knots = c(21, 45, 60))2",0.1,-14.689406475936,1.39795956196661,0
"bs(Age, knots = c(21, 45, 60))3",0.1,-16.9807743145018,1.52678854962885,0
"bs(Age, knots = c(21, 45, 60))4",0.1,17.5494381487239,2.09817989132486,0
"bs(Age, knots = c(21, 45, 60))5",0.1,89.8058947244556,8.42644428811642,0
"bs(Age, knots = c(21, 45, 60))6",0.1,194.759254182058,34.9735422848842,2.56639260953762e-08
"TitleIXYes",0.1,-5.95859312874696,0.39907772882305,0
"GenderM",0.1,-40.1918582435501,1.35617343420812,0
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,2.66895629222636,1.74838148130477,0.12687838183971
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,3.18000717235035,1.57278678000102,0.0431876934405964
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,13.4126934862826,1.69492792150522,2.66453525910038e-15
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,7.51277166770465,2.37240238162028,0.00154165944690954
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,9.88678985201087,9.17643111181582,0.281296911217999
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,85.3175202654765,36.1503073067407,0.0182713602295785
"(Intercept)",0.25,233.460930861806,5.6208138014556,0
"bs(Age, knots = c(21, 45, 60))1",0.25,-30.5852240416654,4.13465725760211,1.3899992268307e-13
"bs(Age, knots = c(21, 45, 60))2",0.25,-22.8547527172621,3.97437831034152,8.89994988817477e-09
"bs(Age, knots = c(21, 45, 60))3",0.25,-20.8844220951227,4.11528046895237,3.87890973785332e-07
"bs(Age, knots = c(21, 45, 60))4",0.25,14.3674573932887,4.25565301962091,0.00073527927291761
"bs(Age, knots = c(21, 45, 60))5",0.25,90.6450561805702,8.51049077946256,0
"bs(Age, knots = c(21, 45, 60))6",0.25,228.387196653392,21.3018408275093,0
"TitleIXYes",0.25,-7.50276518849154,0.361934808677405,0
"GenderM",0.25,-48.4963165684372,4.81838559885452,0
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,14.6703053170077,5.02774229440696,0.00352439293722284
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,14.1717229243146,4.80402438580005,0.00317814841061015
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,16.6224445209181,4.97207925853647,0.000828345632112981
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,14.8904038960148,5.11933279822148,0.00362989940937131
