"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,209.886798729385,11.8703175153094,0
"bs(Age, knots = c(21, 45, 60))1",0.1,-21.8768529010931,11.2404681192407,0.0516240779451924
"bs(Age, knots = c(21, 45, 60))2",0.1,-13.0556433793588,10.9627640430797,0.233690050294502
"bs(Age, knots = c(21, 45, 60))3",0.1,-15.4079455270744,11.1663045708776,0.167629897556864
"bs(Age, knots = c(21, 45, 60))4",0.1,25.10533599793,11.0632664889025,0.0232532849702762
"bs(Age, knots = c(21, 45, 60))5",0.1,89.1827358556047,14.404588323727,5.97085492159977e-10
"bs(Age, knots = c(21, 45, 60))6",0.1,202.383490341892,66.7253455612737,0.00242076854379647
"TitleIXSome",0.1,-7.57240401513875,0.425317330174336,0
"TitleIXYes",0.1,-2.55384138858026,0.472609734088178,6.52981428928001e-08
"GenderM",0.1,-37.5224641458288,11.0963468291024,0.000720906509585895
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,3.17742988745472,11.3092913933994,0.77874309222925
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,1.89740432706963,11.0155186834622,0.863242372870804
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,12.0715225259284,11.2235956637181,0.282129506256449
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,0.764069149947582,11.1470321791392,0.94535211407217
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,11.7207602217094,14.7963863206114,0.428281219015729
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,76.4573389419027,66.86836986069,0.252872609135061
"(Intercept)",0.25,231.044652949291,4.47396628498662,0
"bs(Age, knots = c(21, 45, 60))1",0.25,-30.650419690575,1.99147864214215,0
"bs(Age, knots = c(21, 45, 60))2",0.25,-22.2156331623061,1.86636422010844,0
"bs(Age, knots = c(21, 45, 60))3",0.25,-19.5091405222321,2.00712710467436,0
"bs(Age, knots = c(21, 45, 60))4",0.25,20.6446670533107,2.42103762534953,0
"bs(Age, knots = c(21, 45, 60))5",0.25,90.3669575373553,7.21671589289418,0
"bs(Age, knots = c(21, 45, 60))6",0.25,231.61870951754,24.3480425943455,0
"TitleIXSome",0.25,-9.0148806131337,0.376393422166312,0
"TitleIXYes",0.25,-4.37384676614811,0.402169665977344,0
"GenderM",0.25,-46.4626602115444,3.66258727850881,0
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,15.0308696901058,3.88242419202393,0.000108168696450583
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,13.9874304387428,3.66987734338637,0.000138182946878729
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,15.4959726153974,3.82923779380723,5.19381608157232e-05
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,9.66380523688933,4.07736728611274,0.0177830686455414
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,28.3954080691174,8.85171882413085,0.00133714222053083
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,46.3764905894327,32.3055785964911,0.15112889911015
"(Intercept)",0.5,255.3355916624,3.70862343763014,0
"bs(Age, knots = c(21, 45, 60))1",0.5,-35.5703102204078,2.68182682789026,0
"bs(Age, knots = c(21, 45, 60))2",0.5,-28.4373731341165,2.53642561823168,0
"bs(Age, knots = c(21, 45, 60))3",0.5,-18.2369062633319,2.67702735565865,9.6069818766864e-12
"bs(Age, knots = c(21, 45, 60))4",0.5,23.7136870785147,2.99230031845677,2.22044604925031e-15
"bs(Age, knots = c(21, 45, 60))5",0.5,122.836790788545,7.37513307058503,0
"bs(Age, knots = c(21, 45, 60))6",0.5,206.108442207969,25.1502083226339,2.22044604925031e-16
"TitleIXSome",0.5,-8.03994863856246,0.374140119830721,0
"TitleIXYes",0.5,-3.8821747179247,0.402563134160148,0
"GenderM",0.5,-44.3904377762768,3.86728863317516,0
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,16.7288069394311,4.08527031576142,4.22376261528523e-05
