"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,18226.6278754643,4867.9884893692,0.00018099585846687
"bs(Age, knots = c(21, 45, 60))1",0.1,-7274.32791130501,4937.81324394475,0.140700696792753
"bs(Age, knots = c(21, 45, 60))2",0.1,-6843.67859294276,4828.81616606242,0.156407875547596
"bs(Age, knots = c(21, 45, 60))3",0.1,-6644.72705677691,4866.07095284662,0.172089411239156
"bs(Age, knots = c(21, 45, 60))4",0.1,-4795.69877118336,4836.49057778193,0.321409660375983
"bs(Age, knots = c(21, 45, 60))5",0.1,616.662993155539,4913.14302482706,0.900117517497492
"bs(Age, knots = c(21, 45, 60))6",0.1,5721.16344349968,4899.1067773774,0.242888896282015
"TitleIX_years",0.1,1.63785430015394,1.30896902946285,0.210841743857411
"GenderM",0.1,-6015.76839096433,4858.73909304039,0.215666862122946
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,4808.54557134252,4948.53729326928,0.33119488666936
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,3817.04888081399,4833.12363755882,0.42966319828356
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,4723.79002226642,4871.69372976541,0.332226160514745
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,4339.78097337503,4841.1431197805,0.370019549626905
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,3934.72828423997,4923.39706028442,0.424180647895312
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,8306.1774140488,4949.10459265477,0.0932851777574508
"(Intercept)",0.25,17619.1035994441,16682.5365250533,0.290904310496531
"bs(Age, knots = c(21, 45, 60))1",0.25,-5799.59936921217,16768.4327759579,0.729444917924155
"bs(Age, knots = c(21, 45, 60))2",0.25,-5749.63572067171,16652.0331589806,0.72988298955645
"bs(Age, knots = c(21, 45, 60))3",0.25,-5065.90438249082,16693.124386871,0.761529870166208
"bs(Age, knots = c(21, 45, 60))4",0.25,-3310.22624540708,16659.0368406775,0.8424939221452
"bs(Age, knots = c(21, 45, 60))5",0.25,2511.25674086689,16739.8660378509,0.880751604876646
"bs(Age, knots = c(21, 45, 60))6",0.25,9536.11996464646,16875.1994632927,0.572008130374922
"TitleIX_years",0.25,-5.41003499796046,1.224352114056,9.93127357751256e-06
"GenderM",0.25,-2246.64249990663,16680.5321836591,0.892859780411159
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,948.74890696612,16771.5072771883,0.954888471412235
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,479.107704530385,16653.0881473693,0.977048113135918
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,599.711866364893,16694.5845322732,0.971344132591426
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,575.693740718361,16660.1303569834,0.972434452742964
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,649.973908389163,16743.0271278146,0.969033451715631
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,2076.15419468451,16906.8461675748,0.902265809569061
"(Intercept)",0.5,39448.9918757116,13073.8168363425,0.00254957318842353
"bs(Age, knots = c(21, 45, 60))1",0.5,-25975.029698924,13164.0394133831,0.0484753043196866
"bs(Age, knots = c(21, 45, 60))2",0.5,-26581.6228986819,13045.6528938829,0.0415918033279619
"bs(Age, knots = c(21, 45, 60))3",0.5,-25258.0973809089,13086.2967362716,0.0535925592596329
"bs(Age, knots = c(21, 45, 60))4",0.5,-23278.8286107081,13053.3141338526,0.0745272145126321
"bs(Age, knots = c(21, 45, 60))5",0.5,-15898.3234809668,13126.9558649704,0.22584963020111
"bs(Age, knots = c(21, 45, 60))6",0.5,-13557.6731699312,13054.4310257323,0.299014596912397
"TitleIX_years",0.5,-5.34119298524974,1.25549570984215,2.09773862136498e-05
"GenderM",0.5,-24073.6910457798,13995.8068577355,0.0854210893001748
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,22933.4201001875,14109.4596330048,0.104079183771156
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.5,22606.3847914866,13962.8414199439,0.105439257943488
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.5,22129.717018506,14011.7635283057,0.114252287266033
