"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,18251.291642265,6572.1700947464,0.00548547890599504
"bs(Age, knots = c(21, 45, 60))1",0.1,-7400.80686758373,6648.6241914699,0.265651389445089
"bs(Age, knots = c(21, 45, 60))2",0.1,-6970.47435355296,6542.08090425577,0.286657842066681
"bs(Age, knots = c(21, 45, 60))3",0.1,-6780.33454488476,6578.426570398,0.302685375017676
"bs(Age, knots = c(21, 45, 60))4",0.1,-4997.81091589943,6549.8926229004,0.445441504740979
"bs(Age, knots = c(21, 45, 60))5",0.1,448.122768322401,6618.56568178573,0.946018948578148
"bs(Age, knots = c(21, 45, 60))6",0.1,5515.28228138275,6572.73841129476,0.401405119528537
"TitleIX_since1975",0.1,4.4559197422262,0.691943377580944,1.1976220015697e-10
"GenderM",0.1,-6040.55439111624,6575.57688447644,0.358286843687608
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,4943.85021059821,6663.29480950605,0.458116149443623
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,3942.49941299186,6551.41551506135,0.547321916606177
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,4859.26577986336,6588.83949422726,0.460818863575934
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,4554.11230528563,6559.6154185274,0.487516146576917
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,4106.37268007597,6631.61548087474,0.535777198361837
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,8507.73246162501,6586.71745727317,0.196478805251681
"(Intercept)",0.25,17519.5094736449,14663.1956291377,0.232167570009849
"bs(Age, knots = c(21, 45, 60))1",0.25,-5790.43562668512,14750.4772470823,0.694645177234397
"bs(Age, knots = c(21, 45, 60))2",0.25,-5712.51851776091,14632.5515381903,0.696242385263568
"bs(Age, knots = c(21, 45, 60))3",0.25,-5009.22472121772,14674.4999948147,0.732835882505172
"bs(Age, knots = c(21, 45, 60))4",0.25,-3188.88070634489,14640.3990423801,0.827574259103204
"bs(Age, knots = c(21, 45, 60))5",0.25,2682.92334633269,14721.8450160562,0.855393665436714
