"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,18589.6502203226,21477.0896290872,0.386733272330362
"bs(Age, knots = c(21, 45, 60))1",0.1,-7900.67093510872,21573.2695981086,0.71419727393835
"bs(Age, knots = c(21, 45, 60))2",0.1,-6923.95031708468,21450.0604535921,0.746851357341407
"bs(Age, knots = c(21, 45, 60))3",0.1,-6798.01266501885,21489.3298500271,0.751741777039094
"bs(Age, knots = c(21, 45, 60))4",0.1,-4598.78302520169,21458.4564152911,0.830304602248347
"bs(Age, knots = c(21, 45, 60))5",0.1,-349.120357015291,21522.5466202257,0.987057970089297
"bs(Age, knots = c(21, 45, 60))6",0.1,5940.88334849051,21431.6016881471,0.781625056239547
"TitleIX_4Early",0.1,-443.022673691411,25.942789741288,0
"TitleIX_4Middle",0.1,-157.517752357771,28.5682870937896,3.5141795029503e-08
"TitleIX_4Late",0.1,32.0546711905826,38.0095203368453,0.399042649305565
"GenderM",0.1,-6378.22444531175,21640.4379281309,0.768195340740597
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,5439.89247963758,21749.4390164926,0.802497357636706
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,3902.21786292847,21610.2913779695,0.856703422838045
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,4872.71597709043,21654.3709187554,0.821961995789202
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,4144.36181878818,21620.1540763037,0.847985287018127
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,4917.73705000735,21689.8789862833,0.820634084859282
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,8065.85525651053,21594.0883147483,0.708760477975826
"(Intercept)",0.25,17840.7691598414,16315.8926933429,0.274192388898819
"bs(Age, knots = c(21, 45, 60))1",0.25,-5982.98420513735,16401.9868966322,0.715281763969389
"bs(Age, knots = c(21, 45, 60))2",0.25,-5658.26712300285,16286.46928292,0.72827488650878
"bs(Age, knots = c(21, 45, 60))3",0.25,-5114.92826900957,16325.4947337374,0.7540458143304
"bs(Age, knots = c(21, 45, 60))4",0.25,-2935.94044640229,16292.8424107971,0.856997036801189
"bs(Age, knots = c(21, 45, 60))5",0.25,1666.6325047137,16368.7044659037,0.918900980913757
"bs(Age, knots = c(21, 45, 60))6",0.25,9661.10121280537,16423.5427663007,0.556366617474308
"TitleIX_4Early",0.25,-535.833946048101,22.0882568692944,0
"TitleIX_4Middle",0.25,-257.770579405042,23.6183813271265,0
"TitleIX_4Late",0.25,-265.253102272685,32.0196607103851,0
"GenderM",0.25,-2432.35166546244,16314.903883654,0.88148445994325
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,1115.93389146968,16405.9938296237,0.94576981784953
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,352.316232517472,16288.5800069663,0.982743389605052
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,610.889662757958,16327.935918412,0.970155101457265
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,177.246128298675,16295.0368963535,0.991321338011599
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,1438.4094821086,16373.0855362162,0.929994272109044
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,1893.94821064404,16464.8989215728,0.908421810210248
"(Intercept)",0.5,40446.1323715478,2833.00792491997,0
"bs(Age, knots = c(21, 45, 60))1",0.5,-26677.8168933252,2955.08632620117,0
"bs(Age, knots = c(21, 45, 60))2",0.5,-27313.9774530082,2790.76683657363,0
"bs(Age, knots = c(21, 45, 60))3",0.5,-26087.4431531222,2847.50332234235,0
"bs(Age, knots = c(21, 45, 60))4",0.5,-23846.0224113578,2799.53065952831,0
"bs(Age, knots = c(21, 45, 60))5",0.5,-17298.3200629893,2910.31562747533,2.78609713078026e-09
"bs(Age, knots = c(21, 45, 60))6",0.5,-14281.074568338,2823.45127988061,4.23722094744505e-07
"TitleIX_4Early",0.5,-487.85768058731,22.9030305258841,0
"TitleIX_4Middle",0.5,-227.463163582409,24.733629524605,0
"TitleIX_4Late",0.5,-371.406072051764,33.5497014332561,0
"GenderM",0.5,-25039.6126547733,5682.76671963673,1.05195591662e-05
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,23607.8797526016,5814.70527054968,4.90709014853152e-05
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.5,23305.7710209092,5645.72025654886,3.65901316006223e-05
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.5,22929.0326487837,5700.50012623999,5.76415775590533e-05
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.5,22974.353254038,5657.76361823997,4.89350769474761e-05
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.5,22846.4074720614,5750.87635723181,7.10737469815648e-05
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.5,28709.052413975,5679.92787689546,4.31669439748816e-07
"(Intercept)",0.75,74136.5115650641,20245.2625397336,0.00025034878019925
"bs(Age, knots = c(21, 45, 60))1",0.75,-57124.7172477779,20367.5749182867,0.005036630742975
"bs(Age, knots = c(21, 45, 60))2",0.75,-58761.7453085235,20160.0002253396,0.00355961459093246
"bs(Age, knots = c(21, 45, 60))3",0.75,-56637.5010969436,20229.3967218377,0.00511414567236157
"bs(Age, knots = c(21, 45, 60))4",0.75,-54137.891683635,20174.758311053,0.00728690218242267
"bs(Age, knots = c(21, 45, 60))5",0.75,-47466.4693832325,20271.3852236046,0.0192040736310228
"bs(Age, knots = c(21, 45, 60))6",0.75,-45676.7026269997,20143.6396828359,0.0233569306526462
"TitleIX_4Early",0.75,-601.30927803852,30.2768786529314,0
"TitleIX_4Middle",0.75,-309.084430581449,33.341213038219,0
"TitleIX_4Late",0.75,-522.302121870197,44.868649959599,0
"GenderM",0.75,-48879.5932721619,21215.4115712162,0.0212247848596312
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.75,47485.2059579669,21405.6220818902,0.0265311102640542
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.75,47587.3607498637,21160.7834406989,0.0245225077826048
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.75,46331.2703742249,21241.3123374619,0.029169885531749
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.75,46437.7200402826,21178.7360362784,0.0283323264375428
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.75,47466.7743081365,21290.990620335,0.0257855750278617
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.75,52419.5211266982,21152.8199413183,0.0132073556238785
"(Intercept)",0.9,104612.436977937,56923.651644163,0.0660970350271075
"bs(Age, knots = c(21, 45, 60))1",0.9,-84370.1505112371,57517.3216645252,0.14241314661826
"bs(Age, knots = c(21, 45, 60))2",0.9,-87921.8751466706,56753.2779057361,0.121335319330429
"bs(Age, knots = c(21, 45, 60))3",0.9,-84740.6801542839,57004.8650981278,0.137133633198191
"bs(Age, knots = c(21, 45, 60))4",0.9,-82282.3374877639,56797.5751548311,0.147423286933661
"bs(Age, knots = c(21, 45, 60))5",0.9,-74702.8254598349,57204.9102302244,0.191593276666644
"bs(Age, knots = c(21, 45, 60))6",0.9,-72047.0816207973,56580.5183097789,0.202892486677967
"TitleIX_4Early",0.9,-736.512053580014,42.0405605978383,0
"TitleIX_4Middle",0.9,-436.269196453798,45.0977959504305,0
"TitleIX_4Late",0.9,-728.351748700697,62.8156133633353,0
"GenderM",0.9,-85550.314760519,57193.1663623607,0.134702628083267
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.9,83969.6534041366,57805.7931028111,0.146330623988356
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.9,84454.1244017541,57018.6722974417,0.13856270283575
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.9,82482.4251320528,57276.8375875271,0.149849116216985
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.9,82852.2279575356,57064.8635617595,0.146531002000853
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.9,84558.0379030913,57481.2395412299,0.14127675475543
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.9,83799.4618067821,56848.1723182826,0.140457084976658
