"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,12500.0701036331,1022.24152224467,0
"bs(Age, knots = c(21, 45, 60))1",0.1,-2706.56564843712,1046.85204479951,0.00972585330018516
"bs(Age, knots = c(21, 45, 60))2",0.1,-3054.28758331688,1009.57900931923,0.00248387653107995
"bs(Age, knots = c(21, 45, 60))3",0.1,-2373.72137879955,1019.39355531695,0.0198825088012544
"bs(Age, knots = c(21, 45, 60))4",0.1,-788.73498347668,1012.89990317419,0.436162597972752
"bs(Age, knots = c(21, 45, 60))5",0.1,3882.54296581622,1040.02005466493,0.000189118407817102
"bs(Age, knots = c(21, 45, 60))6",0.1,13647.8246667469,1030.88762379695,0
"Female",0.1,1655.08712766394,18.5760797660409,0
"PostTitleIX",0.1,-166.439029699074,16.4261758552777,0
"DiD",0.1,-21.3401780896212,21.3073110857706,0.316564889371532
"(Intercept)",0.25,16009.9481402173,374.335193567262,0
"bs(Age, knots = c(21, 45, 60))1",0.25,-5512.14955030303,237.449368274287,0
"bs(Age, knots = c(21, 45, 60))2",0.25,-5851.78608001808,176.397880244672,0
"bs(Age, knots = c(21, 45, 60))3",0.25,-5132.44050237872,189.855650384388,0
"bs(Age, knots = c(21, 45, 60))4",0.25,-3453.56896289018,182.932564790946,0
"bs(Age, knots = c(21, 45, 60))5",0.25,2275.03657047428,254.478711207623,0
"bs(Age, knots = c(21, 45, 60))6",0.25,10530.641354425,365.647951910704,0
"Female",0.25,1762.20946296724,16.7729149354196,0
"PostTitleIX",0.25,-122.611836724196,14.5517509478788,0
"DiD",0.25,-197.940668424868,19.1708871470885,0
"(Intercept)",0.5,20756.4726541158,4910.77295487836,2.37145871913036e-05
"bs(Age, knots = c(21, 45, 60))1",0.5,-8653.29372968746,4975.62378152405,0.082010962234448
"bs(Age, knots = c(21, 45, 60))2",0.5,-9429.9299275236,4890.34836741192,0.0538214424239201
"bs(Age, knots = c(21, 45, 60))3",0.5,-8445.14822196481,4918.41763918494,0.0859711873509408
"bs(Age, knots = c(21, 45, 60))4",0.5,-6355.35466995209,4898.66486769807,0.19450611275004
"bs(Age, knots = c(21, 45, 60))5",0.5,217.952522191922,4936.85592856138,0.964786409000774
"bs(Age, knots = c(21, 45, 60))6",0.5,7814.87325168693,4900.30305273335,0.110763290455447
"Female",0.5,1867.09829327075,16.9971509625513,0
"PostTitleIX",0.5,-89.0126007695143,15.0952303211276,3.70905262059296e-09
"DiD",0.5,-270.984304845951,19.5299651701365,0
"(Intercept)",0.75,34956.7157709638,13924.5279467987,0.0120582140538206
"bs(Age, knots = c(21, 45, 60))1",0.75,-19827.6639843782,13949.5341207006,0.155205132960447
"bs(Age, knots = c(21, 45, 60))2",0.75,-21153.1331139121,13851.5806593545,0.126729636061967
"bs(Age, knots = c(21, 45, 60))3",0.75,-19809.2671630691,13882.7685899097,0.153610251683705
"bs(Age, knots = c(21, 45, 60))4",0.75,-17446.6255378476,13861.215729837,0.208151758242914
"bs(Age, knots = c(21, 45, 60))5",0.75,-9771.30679928242,13902.4223103791,0.482149914336226
"bs(Age, knots = c(21, 45, 60))6",0.75,-3705.05032132025,13848.778265157,0.789056368459596
"Female",0.75,2067.38894806706,22.6017762681802,0
"PostTitleIX",0.75,11.4830409368133,18.7520736898312,0.540299026680086
"DiD",0.75,-490.642382754395,25.6272467870074,0
"(Intercept)",0.9,33391.8494378699,19864.9625606524,0.092774567190484
"bs(Age, knots = c(21, 45, 60))1",0.9,-15223.645040371,20075.2269585843,0.44825372471621
"bs(Age, knots = c(21, 45, 60))2",0.9,-18272.2696285347,19804.4535372567,0.356198047210795
"bs(Age, knots = c(21, 45, 60))3",0.9,-16262.5401590098,19892.7636454632,0.413637075413505
"bs(Age, knots = c(21, 45, 60))4",0.9,-13875.81616628,19830.8504260981,0.484109516879067
"bs(Age, knots = c(21, 45, 60))5",0.9,-4501.87257206668,19949.6763405806,0.821464811910205
"bs(Age, knots = c(21, 45, 60))6",0.9,-2589.21174214862,19768.5616799081,0.895794140889174
"Female",0.9,2304.68123215713,35.0048405987453,0
"PostTitleIX",0.9,13.8571603351887,27.5069293866115,0.614423287265923
"DiD",0.9,-637.11614691261,39.2130951221527,0
