"term","tau","estimate","std.error","p.value","cohort","lo","hi","title_ix_exposed"
"GenderM:BirthCohort<=1939",0.5,-156.197410161946,72.9212130416378,0.0321935868190062,"<=1939",-299.122987723556,-13.2718326003358,FALSE
"GenderM:BirthCohort1940-44",0.5,-59.6231947420555,61.9794428660131,0.336058230467518,"1940-44",-181.102902759441,61.85651327533,FALSE
"GenderM:BirthCohort1945-49",0.5,30.0531512887914,45.5479515318106,0.509373733281744,"1945-49",-59.2208337135574,119.32713629114,FALSE
"GenderM:BirthCohort1950-54",0.5,0,0,NA,"1950-54",0,0,FALSE
"GenderM:BirthCohort1955-59",0.5,259.509787753347,40.6744758752392,1.76993530942582e-10,"1955-59",179.787815037878,339.231760468816,FALSE
"GenderM:BirthCohort1960-64",0.5,449.008043071561,39.271106687717,0,"1960-64",372.036673963635,525.979412179486,TRUE
"GenderM:BirthCohort1965-69",0.5,450.145515100102,38.3120226989826,0,"1965-69",375.053950610096,525.237079590108,TRUE
"GenderM:BirthCohort1970-74",0.5,361.704049393422,38.4196300684551,0,"1970-74",286.40157445925,437.006524327594,TRUE
"GenderM:BirthCohort1975-79",0.5,387.046028689271,39.744127626121,0,"1975-79",309.147538542074,464.944518836468,TRUE
"GenderM:BirthCohort1980-84",0.5,309.988337906338,42.1205284773085,1.84741111297626e-13,"1980-84",227.432102090813,392.544573721862,TRUE
"GenderM:BirthCohort1985-89",0.5,219.253970826742,46.148853442547,2.0243073795001e-06,"1985-89",128.80221807935,309.705723574134,TRUE
"GenderM:BirthCohort>=1990",0.5,354.405846159551,42.808136022443,0,">=1990",270.501899555563,438.309792763539,TRUE
