"term","cohort","estimate","std_error","p_value","lo","hi","title_ix_exposed"
"GenderM:BirthCohort<=1939","<=1939",-16.8197271324241,80.4789973460435,0.83445299803271,-174.558561930669,140.919107665821,FALSE
"GenderM:BirthCohort1940-44","1940-44",224.976106331676,72.5083220643943,0.00191854044721645,82.859795085463,367.092417577889,FALSE
"GenderM:BirthCohort1945-49","1945-49",29.9324884973155,52.2452713452097,0.566700358878827,-72.4682433392955,132.333220333926,FALSE
"ref","1950-54",0,0,NA,0,0,FALSE
"GenderM:BirthCohort1955-59","1955-59",76.4676774898305,38.0069185678659,0.0442327051753384,1.9741170968133,150.961237882848,FALSE
"GenderM:BirthCohort1960-64","1960-64",-11.1761091044725,36.4512220039921,0.759145980968726,-82.6205042322971,60.268286023352,TRUE
"GenderM:BirthCohort1965-69","1965-69",-40.1972111600585,36.0849959440343,0.265303263881985,-110.923803210366,30.5293808902487,TRUE
"GenderM:BirthCohort1970-74","1970-74",-97.2547364087354,36.2879093538993,0.0073632626862002,-168.379038742378,-26.1304340750929,TRUE
"GenderM:BirthCohort1975-79","1975-79",-127.373371572771,36.192529008466,0.000433111863868593,-198.310728429365,-56.4360147161779,TRUE
"GenderM:BirthCohort1980-84","1980-84",-103.202547600224,35.5823720011057,0.00372904133934599,-172.943996722391,-33.461098478057,TRUE
"GenderM:BirthCohort1985-89","1985-89",-156.995928282435,36.449222481541,1.65681503933227e-05,-228.436404346256,-85.5554522186149,TRUE
"GenderM:BirthCohort>=1990",">=1990",-239.511041102763,35.5269383127828,1.58648133517103e-11,-309.143840195817,-169.878242009709,TRUE
