"Year","mean_finish_M","mean_finish_W","median_finish_M","median_finish_W","n_M","n_W","gender_gap_mean","gender_gap_median"
1970,9334,NA,9344,NA,3,NA,NA,NA
1971,9334.875,10522,9447.5,10522,8,1,1187.125,1074.5
1973,8777.83333333333,10627,8819.5,10627,6,1,1849.16666666667,1807.5
1974,9551.76923076923,11249,9451,11249,13,1,1697.23076923077,1798
1975,9062.8,10178,9024,10178,15,2,1115.2,1154
1976,9017.57333333333,10745.25,9103,10840,75,4,1727.67666666667,1737
1977,9165.04,10403.5555555556,9267,10503,175,9,1238.51555555555,1236
1978,9629.19896640827,10730.5897435897,9759,10690,387,39,1101.39077718147,931
1979,9632.67685589519,11062.5666666667,9748,11238,458,60,1429.88981077147,1490
1980,9422.73161764706,10819.6543209877,9540.5,11087,544,81,1396.9227033406,1546.5
1981,9285.73116089613,10863.3536585366,9401,11038.5,491,82,1577.62249764046,1637.5
1982,9406.7106918239,10582.7380952381,9539,10590,477,84,1176.0274034142,1051
1983,9420.34693877551,10711.4946236559,9577,10746,441,93,1291.1476848804,1169
1984,10438.4912718204,11871.6421052632,10610,12096,401,95,1433.15083344271,1486
1985,10232.4322033898,11522.0198019802,10392,11712,472,101,1289.58759859037,1320
1986,10329.1909090909,11658.9545454545,10536,11868,550,132,1329.76363636364,1332
1987,10311.4409005629,11787.986013986,10478,11969,533,143,1476.54511342316,1491
1988,10557.9962049336,11948.1689189189,10682,12157,527,148,1390.17271398533,1475
1989,10283.8267148014,11649.9341317365,10437,11869,554,167,1366.10741693508,1432
1990,10599.4136546185,12078.3417721519,10690,12205,498,158,1478.92811753342,1515
1991,10485.7020547945,11996.5578947368,10611.5,12182.5,584,190,1510.85583994232,1571
1992,10426.8903345725,12018.5833333333,10547,12153.5,538,180,1591.69299876084,1606.5
1993,10853.4462962963,12235.5606060606,11025,12389.5,540,198,1382.11430976431,1364.5
1994,10854.906614786,12352.1843317972,11034,12518,514,217,1497.27771701124,1484
1995,11036.6570841889,12542.4027149321,11183,12697,487,221,1505.74563074321,1514
1996,10899.7514677104,12337.9137254902,11030,12523,511,255,1438.16225777982,1493
1997,10861.7901960784,12446.6277372263,11058,12653.5,510,274,1584.83754114784,1595.5
1998,10791.6376237624,12287.8865979381,10872,12480,505,291,1496.24897417577,1608
1999,10869.6958525346,12404.973880597,10988,12562,434,268,1535.27802806245,1574
2000,10713.6836734694,12222.4221311475,10831,12418.5,392,244,1508.73845767815,1587.5
2001,10507.645,11669.1731601732,10724.5,11906,400,231,1161.52816017316,1181.5
2002,10874.6819047619,12238.6125356125,10991,12435,525,351,1363.93063085063,1444
2003,11262.3080808081,12511.8019093079,11438,12697,594,419,1249.4938284998,1259
2004,11088.3186003683,12418.0319148936,11257,12567,543,376,1329.71331452529,1310
2005,10903.0971659919,12335.1988636364,11076.5,12546,494,352,1432.10169764446,1469.5
2006,10579.4432029795,12002.2603878116,10682,12204,537,361,1422.81718483212,1522
2007,10525.938,11825.4943820225,10649.5,12022,500,356,1299.55638202247,1372.5
2008,10308.4090909091,11794.2352941176,10483.5,11999,440,340,1485.82620320855,1515.5
2009,10353.5625,11975.9840909091,10562.5,12174.5,560,440,1622.42159090909,1612
2010,10543.2638888889,11990.8025477707,10674.5,12176,576,471,1447.53865888181,1501.5
2011,10370.7230273752,11912.339047619,10493,12048,621,525,1541.61602024384,1555
2013,10813.8908122503,12327.8009118541,10924,12481.5,751,658,1513.91009960377,1557.5
2014,10906.0113314448,12339.618902439,11029,12569,706,656,1433.60757099426,1540
2015,10697.1091180867,12320.3207831325,10806,12473.5,669,664,1623.21166504584,1667.5
2016,10616.0281293952,12186.1028169014,10743,12370,711,710,1570.07468750619,1627
2017,10566.4175035868,12141.9811046512,10678,12318,697,688,1575.56360106436,1640
2018,10455.23977433,12021.1940085592,10575,12219,709,701,1565.95423422916,1644
2019,10244.2318435754,11859.1909476662,10358.5,12062,716,707,1614.95910409078,1703.5
2021,10408.4894433781,11931.8206185567,10565,12201,521,485,1523.33117517858,1636
2022,10800.9096209913,12315.890260631,10995,12536,686,729,1514.98063963975,1541
2023,10328.3373655914,11959.2734274711,10466.5,12092,744,779,1630.93606187972,1625.5
2024,9894.32432432433,11531.6163043478,9999.5,11733.5,962,920,1637.2919800235,1734
