"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,18525.6757665301,3625.33485635674,3.22130059515757e-07
"bs(Age, knots = c(21, 45, 60))1",0.1,-7683.31773508888,3718.78211263928,0.0388208244352377
"bs(Age, knots = c(21, 45, 60))2",0.1,-6786.19195861095,3595.87622073424,0.0591317517545211
"bs(Age, knots = c(21, 45, 60))3",0.1,-6785.51813540688,3637.01665324286,0.0620861643647719
"bs(Age, knots = c(21, 45, 60))4",0.1,-4458.33867878983,3604.73836638381,0.216161875695664
"bs(Age, knots = c(21, 45, 60))5",0.1,-361.740006089768,3685.74937351896,0.921816719494917
"bs(Age, knots = c(21, 45, 60))6",0.1,6031.00565110574,3635.71454121105,0.0971519170353983
"TitleIX_18Some1",0.1,-299.00482339773,69.2522028523851,1.57737867563235e-05
"TitleIX_18Some2",0.1,-335.177713958015,74.9028377250979,7.64812363329703e-06
"TitleIX_18Some3",0.1,-453.853331923851,55.3820969133019,2.22044604925031e-16
"TitleIX_18Some4",0.1,-638.037896760209,66.396083879797,0
"TitleIX_18Some5",0.1,-398.60170816241,52.9051913565355,4.9293902293357e-14
"TitleIX_18Some6",0.1,-519.641690528341,64.9696037156767,1.33226762955019e-15
"TitleIX_18Some7",0.1,-354.932623421094,44.4364022630265,1.33226762955019e-15
"TitleIX_18Some8",0.1,-581.384511594531,57.1475919666445,0
"TitleIX_18Some9",0.1,-619.769448370106,53.7370630567134,0
"TitleIX_18Some10",0.1,-442.109773978147,45.912571317817,0
"TitleIX_18Some11",0.1,-598.024671136716,51.0585876108447,0
"TitleIX_18Some12",0.1,-448.826012374945,43.2466309741939,0
"TitleIX_18Some13",0.1,-442.577185771128,47.606938955428,0
"TitleIX_18Some14",0.1,-440.3389246833,42.6775021381922,0
"TitleIX_18Some15",0.1,-342.63195821172,45.4102147624984,4.52970994047064e-14
"TitleIX_18Some16",0.1,-299.081708072451,43.286951653231,4.87476725652414e-12
"TitleIX_18Yes",0.1,-144.443790501578,28.819563997544,5.38770899449759e-07
"GenderM",0.1,-6314.47919545126,3628.1488788106,0.0817868172988931
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,5237.78485173238,3731.80750461948,0.160452759369452
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,3758.51082272494,3598.99546323648,0.296336658550037
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,4864.29241271949,3642.55476478317,0.181743611065237
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,3997.4281127298,3608.52558241355,0.267960081119879
