"term","tau","estimate","std.error","p.value"
"(Intercept)",0.1,18510.5785987059,1561.08994257862,0
"bs(Age, knots = c(21, 45, 60))1",0.1,-7570.13919368302,1667.82786736667,5.65508060601516e-06
"bs(Age, knots = c(21, 45, 60))2",0.1,-6787.85370693276,1501.26004955063,6.14296530909719e-06
"bs(Age, knots = c(21, 45, 60))3",0.1,-6741.02150364816,1557.71017478616,1.50815705446394e-05
"bs(Age, knots = c(21, 45, 60))4",0.1,-4483.3038626757,1511.99335765901,0.00302533205137756
"bs(Age, knots = c(21, 45, 60))5",0.1,-378.817084861393,1670.98874913411,0.820655252300756
"bs(Age, knots = c(21, 45, 60))6",0.1,6092.77467037182,1807.18344288022,0.000747851737579408
"TitleIX_5Elementary",0.1,-452.288769414335,27.2944954652845,0
"TitleIX_5Middle",0.1,-485.408461158646,36.6152635014463,0
"TitleIX_5High",0.1,-441.223744041779,34.7314167485993,0
"TitleIX_5Yes",0.1,-156.923377719025,28.8039222332764,5.09578717000636e-08
"GenderM",0.1,-6299.38613076289,1556.98167719039,5.21281240326577e-05
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.1,5132.71200100864,1702.77154753015,0.00257557064956249
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.1,3758.32346783015,1516.81478309085,0.0132207045922028
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.1,4820.84677856531,1577.83197465209,0.0022479677069438
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.1,4020.05986037483,1529.04548840631,0.00856051484720832
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,4939.15694288709,1704.12906838538,0.00375145554117662
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,7922.8832692239,1926.68591198811,3.91975224971475e-05
"(Intercept)",0.25,17839.6572418962,10929.13397348,0.102616074436444
"bs(Age, knots = c(21, 45, 60))1",0.25,-5944.07554548835,11011.9556940223,0.589346271376468
"bs(Age, knots = c(21, 45, 60))2",0.25,-5670.4912125204,10897.4319537204,0.602818994331389
"bs(Age, knots = c(21, 45, 60))3",0.25,-5097.84744265363,10937.3637094269,0.641147828760657
"bs(Age, knots = c(21, 45, 60))4",0.25,-2955.85747261728,10904.4632565668,0.786338347896267
"bs(Age, knots = c(21, 45, 60))5",0.25,1667.58187241624,10975.2644243852,0.879234282497351
